channel,prime,log2_prime,target_frequency_thz,target_wavelength_nm,float_pixel,integer_pixel,snap_error_px,actual_pixel_wavelength_nm,actual_pixel_frequency_thz,wavelength_error_nm,frequency_error_thz,pixel_left_boundary_nm,pixel_right_boundary_nm
12,37,5.20945336562895,605.6413292929293,495.0,0.0,0,0.0,495.0,605.6413292929293,0.0,0.0,493.78088338703475,496.218245822294
11,31,4.954196310386875,593.4822155588879,505.1414349757433,4.173319263014491,4,-0.1733192630144913,504.7214751622113,593.9760298561704,-0.4199598135320457,0.4938142972824835,503.50936120707473,505.93270802594145
10,29,4.857980995127572,588.8990201597047,509.07277434202325,5.797928574559275,6,0.20207142544072543,509.56110752575466,588.3346542197544,0.4883331837314131,-0.5643659399503349,508.35252545535525,510.7688035141741
9,23,4.523561956057013,572.9690427217391,523.2262751507735,11.679239228891378,12,0.3207607711086222,523.9946306482682,572.1288739716799,0.7683554974946674,-0.8401687500592061,522.7967613495093,525.1915995304403
8,19,4.247927513443585,559.8392566181684,535.4973851082934,16.820689974339476,17,0.17931002566052356,535.923612897034,559.3940083726046,0.42622778874056166,-0.44524824556378917,534.73479879189,537.1115153667989
7,17,4.087462841250339,552.1955572201517,542.9099421031333,19.946161426888573,20,0.05383857311142748,543.0373154142559,552.0660357774923,0.12737331112259653,-0.12952144265943843,541.8539872760674,544.2197255010201
6,13,3.700439718141092,533.7597957986842,561.6617444021044,27.921553631672925,28,0.07844636832707508,561.8450145421746,533.5856868718308,0.1832701400701353,-0.1741089268533642,560.6764971565536,563.0125979130963
5,11,3.4594316186372973,522.2794279400457,574.0077857985519,33.228375078403225,33,-0.22837507840322502,573.478664158244,522.761310466602,-0.5291216403079488,0.48188252655631914,572.3195285722969,574.6368565907181
4,7,2.807354922057604,491.2178977915008,610.304427725164,49.1045891964013,49,-0.10458919640129949,610.0684818503887,491.4078778348037,-0.23594587477532514,0.18998004330290996,608.93993176956,611.1960637729667
3,5,2.321928094887362,468.09469755117715,640.4525827110517,62.62768765077314,63,0.37231234922685985,641.2724732610303,467.4962211857943,0.8198905499785951,-0.5984763653828509,640.1712686305094,642.3726929826959
2,3,1.584962500721156,432.9895034203264,692.3781191734231,86.7219558539019,87,0.2780441460980967,692.9638059705146,432.6235445733454,0.5856867970915118,-0.365958846981016,691.9103570711846,694.0162516999455
1,2,1.0,405.12494324324325,740.0,109.8336641106299,110,0.16633588937010302,740.3349297816112,404.9416634825466,0.33492978161120845,-0.18327976069667784,739.3278055253086,741.3410446986595
